Title,SellerSKU,ASIN,,In Stock Level,List Price,CPU,In Stock Value,Supplier,Date Purchased,Notes,,,,
Bc Headache Powdr 24ct Size 24ct Bc Headache Powdr 24ct,FBA08092016/6.35,B00FQR93KA,"B00FQR93KA,",4,24.99,6.35,25.4,NPS,8/9/16,,"'B00FQR93KA',",,,"('B00FQR93KA', 'Bc Headache Powdr 24ct Size 24ct Bc Headache Powdr 24ct', 4, 24.99),"
Bedskirt by Belles & Whistles (ivory/cream),TM03092017//5.12,B0184RU050,"B0184RU050,",1,22.99,5.12,5.12,Tuesday Morning,3/9/17,,"'B0184RU050',",,,"('B0184RU050', 'Bedskirt by Belles & Whistles (ivory/cream)', 1, 22.99),"
Biore Deep Cleansing Pore Strips Nose 8 Each (Pack of 8),NPS03302017/4.26,B004WKGLCA,"B004WKGLCA,",7,16.99,4.26,29.82,NPS,3/30/17,,"'B004WKGLCA',",,,"('B004WKGLCA', 'Biore Deep Cleansing Pore Strips Nose 8 Each (Pack of 8)', 7, 16.99),"
BOOTS No7 Lift & Luminate Day Cream SPF15 1.6 Fl. Oz/ 50 ml,WG04062017/11.61,B0092TVLVW,"B0092TVLVW,",2,28.99,11.61,23.22,Walgreens,4/6/17,,"'B0092TVLVW',",,,"('B0092TVLVW', 'BOOTS No7 Lift & Luminate Day Cream SPF15 1.6 Fl. Oz/ 50 ml', 2, 28.99),"
Boots No7 Lift & Luminate Foundation Cool Honey,WG01262017//6.4,B00JZQUGTU,"B00JZQUGTU,",1,18.2,6.4,6.4,Walgreens,1/26/17,,"'B00JZQUGTU',",,,"('B00JZQUGTU', 'Boots No7 Lift & Luminate Foundation Cool Honey', 1, 18.2),"
"Boston Warehouse Coffee Labels Espresso Cups (Set of 4), 4 oz",TM04062017/4.08,B0199SWXVM,"B0199SWXVM,",4,29.99,4.09,16.36,Tuesday Morning,4/6/17,,"'B0199SWXVM',",,,"('B0199SWXVM', 'Boston Warehouse Coffee Labels Espresso Cups (Set of 4), 4 oz', 4, 29.99),"
Calphalon Classic Bakeware 14-by-17-Inch Rectangular Nonstick Large Cookie Sheet,TM02162017--8.54,B0009EYIU0,"B0009EYIU0,",2,21.29,8.54,17.08,Tuesday Morning,2/16/17,,"'B0009EYIU0',",,,"('B0009EYIU0', 'Calphalon Classic Bakeware 14-by-17-Inch Rectangular Nonstick Large Cookie Sheet', 2, 21.29),"
Campbell Essential Biology with MasteringBiology (4th Edition),TXT09032016/1,321602064,"321602064,",2,13.99,1,2,Yard Sale,9/3/16,,"'321602064',",,,"('321602064', 'Campbell Essential Biology with MasteringBiology (4th Edition)', 2, 13.99),"
Cellas Delicious Cherry Covered with Real Milk Chocolate 22 Foil Wrapped Cherries 11 Oz,RA01122017/3.71,B00TEFLP74,"B00TEFLP74,",5,11.99,3.71,18.55,Rite Aid,1/12/17,,"'B00TEFLP74',",,,"('B00TEFLP74', 'Cellas Delicious Cherry Covered with Real Milk Chocolate 22 Foil Wrapped Cherries 11 Oz', 5, 11.99),"
Chapstick Total Hydration Vanilla & Honey - 2 Count,WG03142017/2.83,B01MY4BNFQ,"B01MY4BNFQ,",1,14.99,2.83,2.83,Walgreens,3/14/17,,"'B01MY4BNFQ',",,,"('B01MY4BNFQ', 'Chapstick Total Hydration Vanilla & Honey - 2 Count', 1, 14.99),"
