Title,SellerSKU,ASIN,,In Stock Level,List Price,CPU,In Stock Value,Supplier,Date Purchased,Notes,,,,
"Taking Sides: Clashing Views on Global Issues, Expanded",FBA07132016/15.98,78050448,"78050448,",1,23,15.98,15.98,Amazon,7/13/16,,"'78050448',",,,"('78050448', 'Taking Sides: Clashing Views on Global Issues, Expanded', 1, 23),"
"Teenage Mutant Ninja Turtles 11"" Battle Shell Shredder #2 Figure",BL04012017/18.17,B00M4O0IH0,"B00M4O0IH0,",1,53.99,18.17,18.17,Target,4/1/17,,"'B00M4O0IH0',",,,"('B00M4O0IH0', 'Teenage Mutant Ninja Turtles 11"" Battle Shell Shredder #2 Figure', 1, 53.99),"
Teenage Mutant Ninja Turtles April O'Neil,BL04012017_8.55,B008DBZC8S,"B008DBZC8S,",1,23.98,8.55,8.55,Big Lots,4/1/17,,"'B008DBZC8S',",,,"('B008DBZC8S', 'Teenage Mutant Ninja Turtles April O'Neil', 1, 23.98),"
Teenage Mutant Ninja Turtles Mondo Gecko Figure,WG03312017/3,B00WC0DTHW,"B00WC0DTHW,",1,15.7,3,3,Walgreens,3/31/17,,"'B00WC0DTHW',",,,"('B00WC0DTHW', 'Teenage Mutant Ninja Turtles Mondo Gecko Figure', 1, 15.7),"
Teenage Mutant Ninja Turtles Movie April O'Neil Basic Figure,GM04052017//6.68,B00ITKVKGG,"B00ITKVKGG,",1,26.87,6.68,6.68,Gordmans,4/5/17,,"'B00ITKVKGG',",,,"('B00ITKVKGG', 'Teenage Mutant Ninja Turtles Movie April O'Neil Basic Figure', 1, 26.87),"
Teenage Mutant Ninja Turtles Newtralizer Action Figure,BL04012017///8.55,B00DV61KYU,"B00DV61KYU,",1,34.34,8.55,8.55,Big Lots,4/1/17,,"'B00DV61KYU',",,,"('B00DV61KYU', 'Teenage Mutant Ninja Turtles Newtralizer Action Figure', 1, 34.34),"
Teenage Mutant Ninja Turtles Rat King Action Figure,GM04052017/6.68,B00CUB6OPW,"B00CUB6OPW,",1,24.99,6.68,6.68,Gordmans,4/5/17,,"'B00CUB6OPW',",,,"('B00CUB6OPW', 'Teenage Mutant Ninja Turtles Rat King Action Figure', 1, 24.99),"
Teenage Mutant Ninja Turtles Shredder Deluxe Mask,GM04052017-7.42,B00E4MPQW2,"B00E4MPQW2,",1,30.95,7.42,7.42,Gordmans,4/5/17,,"'B00E4MPQW2',",,,"('B00E4MPQW2', 'Teenage Mutant Ninja Turtles Shredder Deluxe Mask', 1, 30.95),"
Teenage Mutant Ninja Turtles Slash Figure,BL04012017/8.55,B00KZNGJI4,"B00KZNGJI4,",1,32.99,8.55,8.55,Big Lots,4/1/17,,"'B00KZNGJI4',",,,"('B00KZNGJI4', 'Teenage Mutant Ninja Turtles Slash Figure', 1, 32.99),"
Teenage Mutant Ninja Turtles Splinter,RA03292018/9.24,B008DBZC8I,"B008DBZC8I,",1,34.45,9.24,9.24,Rite Aid,3/29/17,,"'B008DBZC8I',",,,"('B008DBZC8I', 'Teenage Mutant Ninja Turtles Splinter', 1, 34.45),"
"The Guardian, Book 2 : To Run with the Swift By Gerald N. Lund (2013, Hardcover)",FBA03052016__29,1609077962,"1609077962,",1,13.07,4.26,4.26,Seagull Book,3/7/16,,"'1609077962',",,,"('1609077962', 'The Guardian, Book 2 : To Run with the Swift By Gerald N. Lund (2013, Hardcover)', 1, 13.07),"
"The Learning Journey Match It! Listen & Play Bingo, Transportation",TM03272017//5.83,B00TM0HTYO,"B00TM0HTYO,",1,24.99,5.83,5.83,Tuesday Morning,3/27/17,,"'B00TM0HTYO',",,,"('B00TM0HTYO', 'The Learning Journey Match It! Listen & Play Bingo, Transportation', 1, 24.99),"
The Oregon Trail Card Game by Pressman Toy,TG11032016/5.41,B01JF4CHWK,"B01JF4CHWK,",11,25.99,5.41,59.51,Target,11/3/16,,"'B01JF4CHWK',",,,"('B01JF4CHWK', 'The Oregon Trail Card Game by Pressman Toy', 11, 25.99),"
The Savior's Final Week: A 3-in-1 Paperback Omnibus,FBA03012016/6.4,1609078500,"1609078500,",2,22.99,6.4,12.8,Seagull Book,3/1/16,,"'1609078500',",,,"('1609078500', 'The Savior's Final Week: A 3-in-1 Paperback Omnibus', 2, 22.99),"
The Sharper Image Stainless Steel Multifunction Gravy Pitcher,TM01262017/11.8,B00HOPJ4HE,"B00HOPJ4HE,",2,28.95,11.8,23.6,Tuesday Morning,1/26/17,,"'B00HOPJ4HE',",,,"('B00HOPJ4HE', 'The Sharper Image Stainless Steel Multifunction Gravy Pitcher', 2, 28.95),"
Thomas & Friends: 4 Friends 4 Shaped Puzzles,TM03272017/4.99,B005GOPU2S,"B005GOPU2S,",1,34.99,4.99,4.99,Tuesday Morning,3/27/17,,"'B005GOPU2S',",,,"('B005GOPU2S', 'Thomas & Friends: 4 Friends 4 Shaped Puzzles', 1, 34.99),"
"Toni&Guy Cleanse Shampoo for Dry Hair, 8.5 Fluid Ounce (Pack of 2)",BL02082017/5.83,B00M9HEYP4,"B00M9HEYP4,",4,28,5.83,23.32,Big Lots,2/8/17,,"'B00M9HEYP4',",,,"('B00M9HEYP4', 'Toni&Guy Cleanse Shampoo for Dry Hair, 8.5 Fluid Ounce (Pack of 2)', 4, 28),"
Toystate Road Rippers Light and Sound Raminator 4X4 Monster Truck Vehicle (Styles May Vary),GM04052017/5.93,B00KJH6I00,"B00KJH6I00,",1,29.99,5.93,5.93,Gordmans,4/5/17,,"'B00KJH6I00',",,,"('B00KJH6I00', 'Toystate Road Rippers Light and Sound Raminator 4X4 Monster Truck Vehicle (Styles May Vary)', 1, 29.99),"
Transformers Generations Titans Return Decepticon Krok and Gatorface,WG04062017/16.72,B01LY11Y26,"B01LY11Y26,",1,39.25,16.72,16.72,Walgreens,4/6/17,,"'B01LY11Y26',",,,"('B01LY11Y26', 'Transformers Generations Titans Return Decepticon Krok and Gatorface', 1, 39.25),"
"Trend Lab Cocoa Coral Patchwork Owl Stuffed Toy, Pink",TM01052017/5.08,B00KHR6W8U,"B00KHR6W8U,",1,17.68,5.08,5.08,Tuesday Morning,1/5/17,,"'B00KHR6W8U',",,,"('B00KHR6W8U', 'Trend Lab Cocoa Coral Patchwork Owl Stuffed Toy, Pink', 1, 17.68),"
Tresemme Sea Foam 5.1oz Perfectly (Un) Done (2 Pack),RA01262017/3.89,B00UK5Z8BQ,"B00UK5Z8BQ,",3,19.99,3.89,11.67,Rite Aid,1/26/17,,"'B00UK5Z8BQ',",,,"('B00UK5Z8BQ', 'Tresemme Sea Foam 5.1oz Perfectly (Un) Done (2 Pack)', 3, 19.99),"
Triderma Md Psoriasis Control 6.4 Oz(2 Tubes | for Home & on the Go)with Exclusive Ap4Â® Aloe,WG03172017/4.27,B00UULY7O4,"B00UULY7O4,",4,35.95,4.27,17.08,Walgreens,3/17/17,,"'B00UULY7O4',",,,"('B00UULY7O4', 'Triderma Md Psoriasis Control 6.4 Oz(2 Tubes | for Home & on the Go)with Exclusive Ap4Â® Aloe', 4, 35.95),"
Typhoon Frosted Glass Oil Drizzler,TM04062017//4.09,B0009RNMY0,"B0009RNMY0,",1,17.99,4.09,4.09,Tuesday Morning,4/6/17,,"'B0009RNMY0',",,,"('B0009RNMY0', 'Typhoon Frosted Glass Oil Drizzler', 1, 17.99),"
Veridian Healthcare Pocket Digital Pedometer,TM11112016/8.07,B008GSYA04,"B008GSYA04,",1,22.99,8.07,8.07,TM11112016/8.07,11/11/16,,"'B008GSYA04',",,,"('B008GSYA04', 'Veridian Healthcare Pocket Digital Pedometer', 1, 22.99),"
"Via Spiga Women's Prish Riding Boot, Military/Military, 9 M US",FBA07202016/56.12,B00V49VZYG,"B00V49VZYG,",2,99,56.12,112.24,Amazon,7/20/16,,"'B00V49VZYG',",,,"('B00V49VZYG', 'Via Spiga Women's Prish Riding Boot, Military/Military, 9 M US', 2, 99),"
"Vidal Sassoon  Cherry Almond Classic Clean Conditioner, 12.9 Fluid Ounce",NPS02162017/2.66,B00OP24HK8,"B00OP24HK8,",2,16.85,2.66,5.32,NPS,2/16/17,,"'B00OP24HK8',",,,"('B00OP24HK8', 'Vidal Sassoon  Cherry Almond Classic Clean Conditioner, 12.9 Fluid Ounce', 2, 16.85),"
"Vidal Sassoon  Cherry Almond Classic Clean Shampoo, 12.9 Fluid Ounce",NPS02162017/3.19,B00OP24E7E,"B00OP24E7E,",5,26.97,3.19,15.95,NPS,2/16/17,,"'B00OP24E7E',",,,"('B00OP24E7E', 'Vidal Sassoon  Cherry Almond Classic Clean Shampoo, 12.9 Fluid Ounce', 5, 26.97),"
"Vidal Sassoon  Pro Series Hydro Boost Quenching Shampoo, 20.2 Fluid Ounce",NPS02032017/2.98,B00OP24QMC,"B00OP24QMC,",1,20.01,2.98,2.98,NPS,2/3/17,,"'B00OP24QMC',",,,"('B00OP24QMC', 'Vidal Sassoon  Pro Series Hydro Boost Quenching Shampoo, 20.2 Fluid Ounce', 1, 20.01),"
"Vidal Sassoon  Salonist Hair Color Permanent Color Kit, 5/3 Medium Gold Brown",RA02022017/2.68,B00OP20ZSG,"B00OP20ZSG,",2,17.99,2.68,5.36,Rite Aid,2/2/16,,"'B00OP20ZSG',",,,"('B00OP20ZSG', 'Vidal Sassoon  Salonist Hair Color Permanent Color Kit, 5/3 Medium Gold Brown', 2, 17.99),"
"Vidal Sassoon  Salonist Hair Color Permanent Color Kit, 7/0 Dark Neutral Blonde",RA02232017/2.7,B00OP21HN8,"B00OP21HN8,",4,19.98,2.7,10.8,Rite Aid,2/23/17,,"'B00OP21HN8',",,,"('B00OP21HN8', 'Vidal Sassoon  Salonist Hair Color Permanent Color Kit, 7/0 Dark Neutral Blonde', 4, 19.98),"
"Vidal Sassoon Salonist Hair Colour Permanent Color Kit, 6/0 Light Neutral Brown",RA02022017//2.68,B00OP215JY,"B00OP215JY,",1,12.61,2.68,2.68,Rite Aid,2/2/16,,"'B00OP215JY',",,,"('B00OP215JY', 'Vidal Sassoon Salonist Hair Colour Permanent Color Kit, 6/0 Light Neutral Brown', 1, 12.61),"
"Vidal Sassoon Salonist Hair Colour Permanent Kit, Color 8/0 Medium Neutral Blonde",RA02182017/2.7,B00OP21NEQ,"B00OP21NEQ,",2,14.95,2.7,5.4,Rite Aid,2/18/17,,"'B00OP21NEQ',",,,"('B00OP21NEQ', 'Vidal Sassoon Salonist Hair Colour Permanent Kit, Color 8/0 Medium Neutral Blonde', 2, 14.95),"
"Well Roots Acai Berry Super Flush Weight Loss Support, 56 Softgels",BL02272017/4.69,B01EXZKQEM,"B01EXZKQEM,",1,15.98,4.69,4.69,Big Lots,2/27/17,,"'B01EXZKQEM',",,,"('B01EXZKQEM', 'Well Roots Acai Berry Super Flush Weight Loss Support, 56 Softgels', 1, 15.98),"
"Whole Care Gel Toothpaste Orange Mango, Orange Mango Gel 4.7 oz (Pack of 4)",NPS03302017/12.82,B00HA7HL80,"B00HA7HL80,",1,35.99,12.82,12.82,NPS,3/30/17,,"'B00HA7HL80',",,,"('B00HA7HL80', 'Whole Care Gel Toothpaste Orange Mango, Orange Mango Gel 4.7 oz (Pack of 4)', 1, 35.99),"
"Whole Care Gel Toothpaste Orange Mango, Orange Mango Gel 4.7 oz (Pack of 4)",NPS 03302017/12.78,B00HA7HL80,"B00HA7HL80,",1,44.99,12.78,12.78,NPS,3/30/17,,"'B00HA7HL80',",,,"('B00HA7HL80', 'Whole Care Gel Toothpaste Orange Mango, Orange Mango Gel 4.7 oz (Pack of 4)', 1, 44.99),"
"Whoppers Easter Robin Eggs, 10-ounce Bags (Pack of 4)",RA02232017/8.67,B00CATB8FU,"B00CATB8FU,",2,29.99,8.67,17.34,Rite Aid,2/23/17,,"'B00CATB8FU',",,,"('B00CATB8FU', 'Whoppers Easter Robin Eggs, 10-ounce Bags (Pack of 4)', 2, 29.99),"
Wild Adventure Bug Shack Set,TM12052016/1.91,B01058JCK0,"B01058JCK0,",4,15.99,1.91,7.64,Tuesday Morning,12/5/16,,"'B01058JCK0',",,,"('B01058JCK0', 'Wild Adventure Bug Shack Set', 4, 15.99),"
Wild Adventure Duck Hunter Deluxe Action Figure with Articulation and Life-Sized Duck Call,TM03272017//8.33,B01058J4HQ,"B01058J4HQ,",1,26.99,8.33,8.33,Tuesday Morning,3/27/17,,"'B01058J4HQ',",,,"('B01058J4HQ', 'Wild Adventure Duck Hunter Deluxe Action Figure with Articulation and Life-Sized Duck Call', 1, 26.99),"
"Wilton Armetale Flutes and Pearls Cake Stand, Round, 11-1/4-Inch by 4-1/2-Inch",TM04072017/37.5,B0000TRBGC,"B0000TRBGC,",2,89,37.5,75,Tuesday Morning,4/7/17,,"'B0000TRBGC',",,,"('B0000TRBGC', 'Wilton Armetale Flutes and Pearls Cake Stand, Round, 11-1/4-Inch by 4-1/2-Inch', 2, 89),"
"Working Class Studio The Re-Gift Collection Lattice Large Box, Burnt Scarlet",FBA08082016/3.19,B0046REQ1C,"B0046REQ1C,",3,24.99,3.19,9.57,Seagull Book,8/8/16,,"'B0046REQ1C',",,,"('B0046REQ1C', 'Working Class Studio The Re-Gift Collection Lattice Large Box, Burnt Scarlet', 3, 24.99),"
WWE Basic Figure Series Mark Henry Figure,RA04012017-8.54,B00O5BS480,"B00O5BS480,",1,49.99,8.54,8.54,Rite Aid,4/1/17,,"'B00O5BS480',",,,"('B00O5BS480', 'WWE Basic Figure Series Mark Henry Figure', 1, 49.99),"
WWE Electronic Ultimate Entrance Stage Playset (Discontinued by manufacturer),BL04012017/21.37,B00T03TFX6,"B00T03TFX6,",1,71.92,21.37,21.37,Big Lots,4/1/17,,"'B00T03TFX6',",,,"('B00T03TFX6', 'WWE Electronic Ultimate Entrance Stage Playset (Discontinued by manufacturer)', 1, 71.92),"
WWE Elite Collection Series #35 - Randy Orton Action Figure,WG03172017/19.09,B00QCAHVIQ,"B00QCAHVIQ,",1,49.89,19.01,19.01,Walgreens,3/17/17,,"'B00QCAHVIQ',",,,"('B00QCAHVIQ', 'WWE Elite Collection Series #35 - Randy Orton Action Figure', 1, 49.89),"
WWE Figure Series #46 - Superstar #8 Big Show,FBA_2340,B00MYL9RXO,"B00MYL9RXO,",1,29.99,12.99,12.99,Walgreens,3/28/17,,"'B00MYL9RXO',",,,"('B00MYL9RXO', 'WWE Figure Series #46 - Superstar #8 Big Show', 1, 29.99),"
WWE Figure Series #46 - Superstar #8 Big Show,BL04012017--8.55,B00MYL9RXO,"B00MYL9RXO,",1,30.98,8.55,8.55,Big Lots,4/1/17,,"'B00MYL9RXO',",,,"('B00MYL9RXO', 'WWE Figure Series #46 - Superstar #8 Big Show', 1, 30.98),"
WWE Figure Series #46 - Superstar #8 Big Show,BL04012017---8.55,B00MYL9RXO,"B00MYL9RXO,",2,29,8.55,17.1,Big Lots,4/1/17,,"'B00MYL9RXO',",,,"('B00MYL9RXO', 'WWE Figure Series #46 - Superstar #8 Big Show', 2, 29),"
WWE Figure Series #52 - Mark Henry,BL04012017-8.55,B00RX9S2UG,"B00RX9S2UG,",3,54.99,8.55,25.65,Big Lots,4/1/17,,"'B00RX9S2UG',",,,"('B00RX9S2UG', 'WWE Figure Series #52 - Mark Henry', 3, 54.99),"
WWE Figure Series #55 - Randy Orton,BL04012017__8.55,B00RX9TKFM,"B00RX9TKFM,",2,32.99,8.55,17.1,Big Lots,4/1/17,,"'B00RX9TKFM',",,,"('B00RX9TKFM', 'WWE Figure Series #55 - Randy Orton', 2, 32.99),"
WWE Series #40 Local Heroes #33 Rey Mysterio (San Diego) Action Figure,WG02092017/12.08,B00JC3U2TA,"B00JC3U2TA,",1,39.99,12.08,12.08,Walgreens,2/9/17,,"'B00JC3U2TA',",,,"('B00JC3U2TA', 'WWE Series #40 Local Heroes #33 Rey Mysterio (San Diego) Action Figure', 1, 39.99),"
WWE Series #40 Local Heroes #36 Edge (Toronto) Action Figure,WG03312017//10.52,B00JC3U3TE,"B00JC3U3TE,",2,54.99,10.52,21.04,Walgreens,3/31/17,,"'B00JC3U3TE',",,,"('B00JC3U3TE', 'WWE Series #40 Local Heroes #36 Edge (Toronto) Action Figure', 2, 54.99),"
"Youthair Creme, Round Bottle, 8 Ounce",NPS03092017//3.19,B00694NJAE,"B00694NJAE,",2,12.99,3.19,6.38,Walgreens,3/9/17,,"'B00694NJAE',",,,"('B00694NJAE', 'Youthair Creme, Round Bottle, 8 Ounce', 2, 12.99),"
"Yukon Gear Men's Waylay Softshell Hunting Jacket, Mossy Oak Break-Up Winter, Large",FBA05232016__10,B00VGPKX0U,"B00VGPKX0U,",1,32.18,21.78,21.78,Amazon,5/11/16,,"'B00VGPKX0U',",,,"('B00VGPKX0U', 'Yukon Gear Men's Waylay Softshell Hunting Jacket, Mossy Oak Break-Up Winter, Large', 1, 32.18),"
"Zensah Smart Running Gloves with Touch Screen Feature, Black, Small",FBA06132016/7.37,B009KBNGHE,"B009KBNGHE,",2,21.02,7.37,14.74,Amazon,6/13/16,,"'B009KBNGHE',",,,"('B009KBNGHE', 'Zensah Smart Running Gloves with Touch Screen Feature, Black, Small', 2, 21.02),"
ZTE Paragon A753G Prepaid Smartphone Net10,WG01252017/14.34,B01I0J6HMM,"B01I0J6HMM,",2,27.99,14.34,28.68,Walgreens,1/25/17,,"'B01I0J6HMM',",,,"('B01I0J6HMM', 'ZTE Paragon A753G Prepaid Smartphone Net10', 2, 27.99),"
"""Total Defense 5"" Right Guard Brand Deodorant for Men (1 Stick of Cool Peak Deodorant)",FBA08152015/2.14,B00166GUYW,,0,18.45,2.14,0,Big Lots,8/15/16,,,,,
"(2 Pack) Softsoap Hand Soap, Wild Basil and Lime 10 fl oz (295 ml)",RA02082017/1.99,B00KC4ZHKW,,0,14,1.99,0,Rite Aid,2/8/17,,,,,
"(2 Pack)-Olay Regenerist Luminous Tone Perfecting Treatment, 1.3 Fl Oz each",WG11162016/6.81,B00RDS4M8S,,0,34.99,6.81,0,Walgreens,11/16/16,,,,,
"(4 Pack) Nature Valley Lemon Poppy Seed Breakfast Biscuits Box, 8.85 Ounce each",BL02162017/9.72,B00W8DHGFO,,0,41.99,9.72,0,Big Lots,2/16/17,,,,,
"(4 Pack) Nature Valley Lemon Poppy Seed Breakfast Biscuits Box, 8.85 Ounce each",FBA08152016/10.69,B00W8DHGFO,,0,29.97,10.69,0,Big Lots,8/15/16,,,,,
"(Pack 2) Covergirl 280 Lipslicks Smoochies Lip Balm, B4n, 0.14 Ounce",FBA06152016/4.70,B00PR9NREA,,0,13.99,4.7,0,Big Lots,6/15/16,,,,,
"Â¡Anda! Curso intermedio (2nd Edition) [Paperback] [Mar 29, 2012] Heining-Boynton, Audrey L.; LeLoup, Jean W. and Cowell, Glynis S.",FBA06132016/7.38,205055966,,0,24,7.38,0,Amazon,6/13/16,,,,,
1 X Doc Mcstuffins Doctor Outfit with Stethoscope Exclusive Doll by Disney,FBA05092016__3,B00O7BA52G,,0,17.95,3.41,0,Walgreen,5/4/16,,,,,
"1 X SWEET OIL HUMCO 4oz by HUMCO HOLDING GROUP, INC. ***",NPS09062016/1.07,B004JCBJBO,,0,10.97,1.07,0,NPS,9/6/16,,,,,
12 Gourmet Coffees of Christmas Holiday Gift Set,BL11282016/9.62,B01771H3TA,,0,29.49,9.62,0,Big Lots,11/28/16,,,,,
16 Pcs Cowboys Western Figures Plastic Toys,TM09082016--8.55,B0131UDDXQ,,0,26.99,8.55,0,Tuesday Morning,9/8/16,,,,,
"18"" long Aircraft Carrier with Sound/Lights and 8 Mini Aircrafts",TM12052016/5.76,B01AXALYAQ,,0,29.95,5.76,0,Tuesday Morning,12/5/16,,,,,
2 Crest Pro Health For Life Toothpaste Smooth Mint 6oz Tubes Designed Adult 50+,BL01212017/3.42,B01LDYLZ50,,0,19.97,3.42,0,Big Lots,1/21/17,,,,,
2 Pack Elbow Grease~2 each 15 oz. Tubs of Thick Oil-Based Lubrication Cream~Original formula,WG03152017/9.38,B005K2O90K,,0,33.08,9.38,0,Walgreens,3/15/17,,,,,
2016 Series Puppy In My Pocket Puppies with Clip On Pouch,WM11142016/10.51,B01IT02JV0,,0,23.49,10.51,0,Walmart,11/14/16,,,,,
700 Piece Mystical Shapes - Sacred Spaces Puzzle-Bison Dream,FBA04052016__10,B000GKEVHM,,0,10.99,2.55,0,Tuesday Morning,4/4/16,,,,,
92 Piece Bamboo Construction Set,TM12052016/10.67,B01MTPA8TE,,0,24.5,10.67,0,Tuesday Morning,12/5/16,,,,,
"A.D.A.M. Interactive Anatomy Online Student Lab Activity Guide [Paperback] [Feb 20, 2013] Schaeffer DC, Scott David",FBA06302016/6.99,1451120397,,0,28.49,6.99,0,Amazon,6/30/16,,,,,
"Abnormal Psychology: An Integrative Approach (International Edition) [Paperback] [Jan 01, 2012] David H. Barlow, V. Mark Durand",FBA03282016__3,B008PTK5SA,,0,19,4,0,Deseret Industries,3/21/16,,,,,
ACE Plantar Fasciitis Sleep Support,FBA08132016/9.44,B005YU8XLO,,0,22.49,9.44,0,Walgreens,8/13/16,,,,,
"Achoo: Good Manners Can Be Contagious [Hardcover] [Aug 01, 2009] Kelly, Mij and McQuillan, Mary",FBA03052016__23,764169696,,0,17.99,4.26,0,Seagull Book,3/7/16,,,,,
"Adobe InDesign CS6 Revealed (Adobe CS6) [Jul 19, 2012] Botello, Chris",FBA06132016/4.97,1133815219,,0,23.99,4.97,0,Amazon,6/13/16,,,,,
"Adventure Wheels Motorized 11"" City Service Fleet Garbage Truck",WM10262016/16,B00PEXRU92,,0,28.94,16,0,Walmart,10/26/16,,,,,
Afrin Allergy Sinus Nasal Spray 0.50 oz Pack of 2,FBA08162016/4.15,B0054EODN2,,0,15.15,4.15,0,Rite Aid,8/16/16,,,,,
"Afrin Sinus 12 Hour Nasal Spray, Decongestant,  .5 oz",FBA08162016/2.07,B0014CUZUI,,0,9.5,2.07,0,Rite Aid,8/16/16,,,,,
Air Hogs - Fury Jump Jet RC Helicopter,TG11032016/18.25,B00U7EXCUY,,0,49.79,18.25,0,Target,11/3/16,,,,,
Air Hogs - Hyper Stunt Drone - Unstoppable Micro RC Drone - Red,Targ11152016/24.35,B01DKLSQLA,,0,49.89,24.35,0,Target,11/15/16,,,,,
Air Hogs RC Megabomb Heli - Bomb Dropping RC Helicopter,FBA04142016__13,B00DPGV30W,,0,34.98,17.09,0,Tuesday Morning,4/11/16,,,,,
Air Hogs RC Megabomb Heli Special Edition - Bomb Dropping RC Helicopter - Black,FBA08222016/13.85,B00JRIGDVG,,0,47.92,13.85,0,Tuesday Morning,8/22/16,,,,,
Air Hogs RC Megabomb Heli Special Edition - Bomb Dropping RC Helicopter - Black,FBA04052016__11,B00JRIGDVG,,0,41.99,17.09,0,Tuesday Morning,4/4/16,,,,,
"Alcatel 382G ""The Big Easy"" Prepaid Phone With Double Minutes (Tracfone)",FBA08012016/6.92,B009LRN2SK,,0,69.99,6.92,0,Rite Aid,11/7/16,,,,,
"Alcatel 382G ""The Big Easy"" Prepaid Phone With Double Minutes (Tracfone)",FBA08012016/6.95,B009LRN2SK,,0,56.95,6.95,0,Rite Aid,8/1/16,,,,,
"Alcon Genteal Mild/Moderate Eye Drops, 15 ml, 0.5 Ounce",FBA07052016/3.46,B002UQE7S8,,0,10.66,3.46,0,Rite Aid,7/5/16,,,,,
ALEX Toys Little Hands My First Scrapbook,TM12022016/3.76,B00BDMNBNM,,0,36,3.76,0,Tuesday Morning,12/2/16,,,,,
ALEX Toys Rub a Dub Artist in the Tub Set,FBA04152016__1,B00000IS0B,,0,24.99,8.54,0,Tuesday Morning,4/11/16,,,,,
Algebra & Trigonometry: Functions & Applications,FBA03282016,201861011,,0,15.5,6,0,Deseret Industries,3/21/16,,,,,
All Natural Foppers Gourmet Dog Treats 12 Piece Spring Bone Shaped Decorative Cookies,TM11112016/4.48,B01CMR4XS8,,0,14.95,4.48,0,Tuesday Morning,11/11/16,,,,,
"Almay Smart Shade Mousse Makeup, Light, 0.7 Fluid Ounce",WG01192017/3.52,B00AMSJM72,,0,21.58,3.52,0,Walgreens,1/19/17,,,,,
"Always Discreet, Incontinence Liners, Very Light, Long Length, 111 Count, 111 Count",FBA07072016/4,B015ZRWCDK,,0,16.45,4,0,Rite Aid,7/7/16,,,,,
Always Xtra Protection Long Daily Liners Clean Scent 36 Count,FBA06242016/3.21,B000ZNN5WW,,0,11.99,3.21,0,Big Lots,6/24/16,,,,,
Amazing Baby: Developmental Activity Turtle,FBA05232016__1,B001AYDB56,,0,18.41,7.47,0,Tuesday Morning,5/17/16,,,,,
Ameda Store'N Pour Milk Storage Bags + 2 Adapters - 50 ct,FBA08132016/7.56,B00OL0VVXU,,0,25.99,7.56,0,Walgreens,8/13/16,,,,,
"Anchor Hocking 22-Ounce Vienna Balloon Wine Beverage Set, Set of 4",RA02022017/4.67,B00E6SFRWI,,0,29.99,4.67,0,Rite Aid,2/2/17,,,,,
Angry Birds Series 1 Erasers 2 Packages and Set of Three 3 Ring Pocket Folders Back To School Set Bundle,FBA07212016/3.78,B01I7I84HW,,0,12.5,3.78,0,Toys R Us,7/21/16,,,,,
Animal Behavior,FBA063016/6.48,012372581X,,0,12.8,6.48,0,Amazon,6/30/16,,,,,
"Anne Klein Sport Women's Guardian Fabric Dress Pump, Navy, 6 M US",FBA07042016/19.75,B015A58YLQ,,0,64.99,19.75,0,Amazon,7/4/16,,,,,
"Anne Klein Sport Women's Guardian Fabric Dress Pump, Navy, 7 M US",FBA070416/19.75,B015A58Z1U,,0,41.58,19.75,0,Amazon,7/4/16,,,,,
"Annual Editions: Criminal Justice, 38/e [Mar 11, 2014] Naughton, Joanne",FBA06302016/6.28,1259171396,,0,29.99,6.28,0,Amazon,6/30/16,,,,,
AquaDoodle Drawing Mat with Neon Color Reveal,TRU11242016//10.67,B00IRXJARG,,0,64.5,10.67,0,Toys R Us,11/24/16,,,,,
"Arctic Zone LavaSeat, Blue",FBA04142016__17,B00BM4P3O6,,0,30.24,10.67,0,Walgreen,4/11/16,,,,,
"Armour Hot & Spicy Vienna Sausage, 4.75 Ounce (Pack of 6)",NPS09232016/3.78,B00XNOEKJW,,0,19.95,3.78,0,NPS,9/23/16,,,,,
"ASICS Men's Club Woven Shorts, Real White, X-Large",FBA0602/10.17,B00NVRPV12,,0,21.99,10.17,0,Amazon,6/2/16,,,,,
"ASICS Men's Wicked Wrestling Singlet (Black/White), Medium",FBA06232016/6.91,B00CG4C4VQ,,0,19,6.91,0,Amazon,6/23/16,,,,,
"ASICS Women's Performance Run Versatility Seamless Bra, Violet Tulip/Purple Magic, Medium/Large",FBA0602/11.68,B00NVRCAO8,,0,27.51,11.68,0,Amazon,6/2/16,,,,,
Assassin's Creed IV Black Flag - PC [Windows 7],FBA03192016__20,B00BMFIXZG,,0,17.5,8.52,0,Game Stop,3/22/16,,,,,
AT&T Z431 (AT&T Go Phone) No Annual Contract,RA09152016/11.61,B009EAFP0W,,0,23.72,11.61,0,Rite Aid,9/15/16,,,,,
AT&T Z431 (AT&T Go Phone) No Annual Contract,FBA020516__11,B009EAFP0W,,0,42.99,10.66,0,Walgreen,2/1/16,,,,,
Aunt Jemima Enriched White Hominy Quick Grits 18.4-Oz. Box (Pack of 2),FBA07302016/1.71,B01DWAM4T4,,0,15.15,1.71,0,Big Lots,7/30/16,,,,,
Aunt Jemima Enriched White Hominy Quick Grits 18.4-Oz. Box (Pack of 2),BL09092016/1.22,B01DWAM4T4,,0,15.99,1.22,0,Big Lots,9/9/16,,,,,
Automatic Card Shuffler 1 or 2 Decks,TM01102017/6.35,B000LG25EW,,0,19.94,6.35,0,Tuesday Morning,1/10/17,,,,,
"Axe Shower Gel, Cool Metal, 16 Fluid Ounce",NPS10222016/3.73,B008CZC1IE,,0,29.99,3.73,0,NPS,10/22/16,,,,,
